URL,Tags
https://therealdeal.com/chicago/2022/10/20/thor-shops-venues-in-lawsuit-as-weed-firm-tries-escaping-unpaid-rent/,"subscriber-inline,cannabis,fulton market,lawsuits,thor equities"
https://therealdeal.com/chicago/2022/10/20/slate-office-reit-drops-20m-on-pfizer-leased-building/,"meter,chicago office market,chicago suburbs,lake forest"
https://therealdeal.com/chicago/2022/10/20/lb-takes-a-hit-on-river-north-apartment-tower/,"meter,apartments,chicago multifamily,river north"
https://therealdeal.com/chicago/2022/10/20/hinsdale-home-looks-to-make-a-quick-1m-three-years-after-it-last-sold/,"subscriber-inline,hinsdale,housing market,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/10/20/factory-hotel-and-water-park-proposed-for-calumet-country-club/,"meter,chicago suburbs,homewood,redevelopment"
https://therealdeal.com/chicago/2022/10/19/these-real-estate-players-gave-to-lightfoot-last-quarter/,"meter,chicago,lori lightfoot,marcus &amp; millichap,politics"
https://therealdeal.com/chicago/2022/10/19/nonprofit-developers-win-tax-funding-for-vacant-school-rethink/,"meter,austin,chicago,redevelopment"
https://therealdeal.com/chicago/2022/10/19/naperville-mansion-back-on-the-market-for-10-5m/,"subscriber-inline,luxury real estate,naperville,residential real estate,suburban chicago"
https://therealdeal.com/chicago/2022/10/19/downtown-aurora-says-casino-move-could-be-good/,"meter,aurora,casinos,jay snowden,penn entertiainment,suburban chicago"
https://therealdeal.com/chicago/2022/10/19/dermody-buys-232m-allstate-campus-for-redevelopment/,"meter,chicago suburbs,glenview,industrial market"
https://therealdeal.com/chicago/2022/10/19/cook-county-treasurer-scrutinizes-sweetheart-deals-for-tax-buyers/,"meter,breaking,maria pappas,property taxes,suburban chicago,tax sales"
